33.667,7.5,0,67.527
33.667,7.5,2.5,66.204
33.667,7.5,5,71.744
33.667,7.5,7.5,76.338
33.667,7.5,10,76.872
33.667,10,0,79.779
33.667,10,2.5,66.01
33.667,10,5,71.322
33.667,10,7.5,75.492
33.667,10,10,76.542
39.111,0,0,69.093
39.111,0,2.5,67.77
39.111,0,5,73.659
39.111,0,7.5,77.426
39.111,0,10,78.461
39.111,2.5,0,69.083
39.111,2.5,2.5,68.463
39.111,2.5,5,72.861
39.111,2.5,7.5,76.971
39.111,2.5,10,77.752
39.111,5,0,69.394
39.111,5,2.5,68.2
39.111,5,5,72.498
39.111,5,7.5,76.624
39.111,5,10,77.902
39.111,7.5,0,69.086
39.111,7.5,2.5,67.928
39.111,7.5,5,72.156
39.111,7.5,7.5,76.347
39.111,7.5,10,77.695
39.111,10,0,68.842
39.111,10,2.5,67.379
39.111,10,5,71.866
39.111,10,7.5,75.958
39.111,10,10,77.3
44.556,0,0,69.698
44.556,0,2.5,68.821
44.556,0,5,73.851
44.556,0,7.5,77.414
44.556,0,10,78.21
44.556,2.5,0,70.243
44.556,2.5,2.5,68.523
44.556,2.5,5,73.853
44.556,2.5,7.5,77.441
44.556,2.5,10,77.996
44.556,5,0,69.948
44.556,5,2.5,68.272
44.556,5,5,73.601
44.556,5,7.5,77.389
44.556,5,10,77.957
44.556,7.5,0,70.365
44.556,7.5,2.5,68.067
44.556,7.5,5,72.836
44.556,7.5,7.5,77.105
44.556,7.5,10,77.949
44.556,10,0,70.187
44.556,10,2.5,68.31
44.556,10,5,72.606
44.556,10,7.5,76.812
44.556,10,10,77.36
50,0,0,71.971
50,0,2.5,69.542
50,0,5,74.958
50,0,7.5,77.719
50,0,10,78.015
50,2.5,0,71.671
50,2.5,2.5,69.431
50,2.5,5,74.326
50,2.5,7.5,77.516
50,2.5,10,78.125
50,5,0,71.426
50,5,2.5,69.714
50,5,5,74.063
50,5,7.5,77.248
50,5,10,77.946
50,7.5,0,71.214
50,7.5,2.5,69.225
50,7.5,5,73.855
50,7.5,7.5,76.994
50,7.5,10,77.922
50,10,0,71.022
50,10,2.5,69.124
50,10,5,73.671
50,10,7.5,77.051
50,10,10,77.937
